State Name,"District Name","Market Name",Variety,Group,"Arrivals (Tonnes)","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Reported Date"
Maharashtra,Pune,Pune,Other,Vegetables,60.50,1000,2500,1750,"05 Sep 2024"
Maharashtra,Pune,Pune,Other,Vegetables,60.90,1000,2000,1500,"04 Sep 2024"
Maharashtra,Pune,Pune,Other,Vegetables,61.00,1000,2000,1500,"01 Aug 2024"
Maharashtra,Pune,Pune,Other,Vegetables,61.30,800,2000,1400,"08 Apr 2024"
Maharashtra,Pune,Pune,Other,Vegetables,61.30,1000,2200,1600,"31 May 2024"
Maharashtra,Pune,Pune,Other,Vegetables,61.30,1000,2500,1750,"14 Aug 2024"
Maharashtra,Pune,Pune,Other,Vegetables,62.40,1000,3000,2000,"09 Jun 2024"
Maharashtra,Pune,Pune,Other,Vegetables,62.60,1000,2500,1750,"25 Jun 2024"
Maharashtra,Pune,Pune,Other,Vegetables,63.00,1000,2600,1800,"20 Sep 2024"
Maharashtra,Pune,Pune,Other,Vegetables,63.30,1000,2200,1600,"14 May 2024"
Maharashtra,Pune,Pune,Other,Vegetables,64.00,1000,4000,2500,"28 Nov 2024"
Maharashtra,Pune,Pune,Other,Vegetables,64.10,1000,3000,2000,"20 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,64.50,1000,2000,1500,"19 Apr 2024"
Maharashtra,Pune,Pune,Other,Vegetables,64.70,800,2000,1400,"09 Apr 2024"
Maharashtra,Pune,Pune,Other,Vegetables,65.10,1000,2200,1600,"10 May 2024"
Maharashtra,Pune,Pune,Other,Vegetables,65.40,1000,2000,1500,"25 Jul 2024"
Maharashtra,Pune,Pune,Other,Vegetables,65.40,1000,3000,2000,"10 Nov 2024"
Maharashtra,Pune,Pune,Other,Vegetables,65.50,800,2000,1400,"01 Apr 2024"
Maharashtra,Pune,Pune,Other,Vegetables,65.50,1000,2000,1500,"15 Jan 2025"
Maharashtra,Pune,Pune,Other,Vegetables,65.50,1000,2000,1500,"26 Feb 2025"
Maharashtra,Pune,Pune,Other,Vegetables,66.00,1000,2000,1500,"30 Jul 2024"
Maharashtra,Pune,Pune,Other,Vegetables,66.20,1000,1800,1400,"26 Jul 2024"
Maharashtra,Pune,Pune,Other,Vegetables,66.30,1000,2000,1500,"04 Jul 2024"
Maharashtra,Pune,Pune,Other,Vegetables,67.00,1000,2200,1600,"19 Jul 2024"
Maharashtra,Pune,Pune,Other,Vegetables,67.00,1000,2500,1750,"12 Aug 2024"
Maharashtra,Pune,Pune,Other,Vegetables,67.50,1000,2200,1600,"02 Jul 2024"
Maharashtra,Pune,Pune,Other,Vegetables,67.60,1000,3000,2000,"28 Jun 2024"
Maharashtra,Pune,Pune,Other,Vegetables,68.40,800,1600,1200,"04 Apr 2024"
Maharashtra,Pune,Pune,Other,Vegetables,68.40,1000,2000,1500,"02 Jun 2024"
Maharashtra,Pune,Pune,Other,Vegetables,68.50,1000,3000,2000,"17 Sep 2024"
Maharashtra,Pune,Pune,Other,Vegetables,68.80,500,2500,1500,"23 Aug 2024"
Maharashtra,Pune,Pune,Other,Vegetables,69.10,1000,2000,1500,"21 Apr 2024"
Maharashtra,Pune,Pune,Other,Vegetables,69.30,1000,2200,1600,"05 Jul 2024"
Maharashtra,Pune,Pune,Other,Vegetables,70.40,1000,3000,2000,"27 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,70.50,1000,2000,1500,"02 Aug 2024"
